2019-08-13 15:36:42.8948 | Info  | d1 
2019-08-13 15:36:42.8948 | Info  | d3 
2019-08-13 15:36:42.8948 | Info  | d1 
2019-08-13 15:36:42.8948 | Info  | d3 
2019-08-13 15:36:42.9136 | Info  | d1 
2019-08-13 15:36:42.9136 | Info  | d3 
2019-08-13 15:36:42.9136 | Info  | d1 
2019-08-13 15:36:42.9136 | Info  | d3 
2019-08-13 15:36:42.9136 | Info  | d1 
2019-08-13 15:36:42.9136 | Info  | d3 
2019-08-13 15:36:42.9136 | Info  | d1 
2019-08-13 15:36:42.9136 | Info  | d3 
2019-08-13 15:36:42.9136 | Info  | d1 
2019-08-13 15:36:42.9250 | Info  | d3 
2019-08-13 15:36:42.9250 | Info  | d1 
2019-08-13 15:36:42.9250 | Info  | d3 
2019-08-13 15:36:42.9250 | Info  | d1 
2019-08-13 15:36:42.9250 | Info  | d3 
2019-08-13 15:36:42.9250 | Info  | d1 
2019-08-13 15:36:42.9250 | Info  | d3 
2019-08-13 15:36:42.9250 | Info  | d1 
2019-08-13 15:36:42.9250 | Info  | d3 
2019-08-13 15:36:42.9250 | Info  | d1 
2019-08-13 15:36:42.9250 | Info  | d3 
2019-08-13 15:36:42.9439 | Info  | d1 
2019-08-13 15:36:42.9439 | Info  | d3 
2019-08-13 15:36:42.9439 | Info  | d1 
2019-08-13 15:36:42.9439 | Info  | d3 
2019-08-13 15:36:42.9439 | Info  | d1 
2019-08-13 15:36:42.9439 | Info  | d3 
2019-08-13 15:36:42.9439 | Info  | d1 
2019-08-13 15:36:42.9439 | Info  | d3 
2019-08-13 15:36:42.9439 | Info  | d1 
2019-08-13 15:36:42.9439 | Info  | d3 
2019-08-13 15:44:14.4916 | Info  | ԭͼ--E:\OCR\CUT\8c342c4ca5e04475b1b8463ca2a61b6e/ԭͼ.jpg 
2019-08-13 15:44:14.5258 | Info  | d1 
2019-08-13 15:44:14.5258 | Info  | d3 
2019-08-13 15:45:01.2976 | Info  | ԭͼ--E:\OCR\CUT\43c5dfdadc2b456b84d275fffc263f37/ԭͼ.jpg 
2019-08-13 15:45:01.3140 | Info  | d1 
2019-08-13 15:45:01.3154 | Info  | d3 
2019-08-13 15:45:01.3154 | Info  | d1 
2019-08-13 15:45:01.3154 | Info  | d3 
2019-08-13 15:45:01.3154 | Info  | d1 
2019-08-13 15:45:01.3154 | Info  | d3 
2019-08-13 15:45:01.3363 | Info  | d1 
2019-08-13 15:45:01.3363 | Info  | d3 
2019-08-13 15:45:01.3467 | Info  | d1 
2019-08-13 15:45:01.3467 | Info  | d3 
2019-08-13 15:45:01.3467 | Info  | d1 
2019-08-13 15:45:01.3467 | Info  | d3 
2019-08-13 15:45:01.3467 | Info  | d1 
2019-08-13 15:45:01.3467 | Info  | d3 
2019-08-13 15:45:01.3660 | Info  | d1 
2019-08-13 15:45:01.3660 | Info  | d3 
2019-08-13 15:45:01.3660 | Info  | d1 
2019-08-13 15:45:01.3660 | Info  | d3 
2019-08-13 15:45:47.4374 | Info  | ԭͼ--E:\OCR\CUT\418a89f8f98c4ee68669d676295af0eb/ԭͼ.jpg 
2019-08-13 15:45:47.4657 | Info  | d1 
2019-08-13 15:45:47.4657 | Info  | d3 
2019-08-13 15:45:47.4657 | Info  | d1 
2019-08-13 15:45:47.4657 | Info  | d3 
2019-08-13 15:45:47.4741 | Info  | d1 
2019-08-13 15:45:47.4741 | Info  | d3 
2019-08-13 15:45:47.4741 | Info  | d1 
2019-08-13 15:45:47.4741 | Info  | d3 
2019-08-13 15:45:47.4741 | Info  | d1 
2019-08-13 15:45:47.4875 | Info  | d3 
2019-08-13 15:45:47.4875 | Info  | d1 
2019-08-13 15:45:47.4875 | Info  | d3 
2019-08-13 15:45:47.4875 | Info  | d1 
2019-08-13 15:45:47.4875 | Info  | d3 
2019-08-13 15:45:47.4875 | Info  | d1 
2019-08-13 15:45:47.4875 | Info  | d3 
2019-08-13 15:45:47.5083 | Info  | d1 
2019-08-13 15:45:47.5083 | Info  | d3 
2019-08-13 15:45:47.5083 | Info  | d1 
2019-08-13 15:45:47.5083 | Info  | d3 
2019-08-13 15:45:47.5083 | Info  | d1 
2019-08-13 15:45:47.5083 | Info  | d3 
2019-08-13 15:45:47.5242 | Info  | d1 
2019-08-13 15:45:47.5242 | Info  | d3 
2019-08-13 15:45:47.5242 | Info  | d1 
2019-08-13 15:45:47.5242 | Info  | d3 
2019-08-13 15:45:47.5242 | Info  | d1 
2019-08-13 15:45:47.5242 | Info  | d3 
2019-08-13 15:45:47.5366 | Info  | d1 
2019-08-13 15:45:47.5366 | Info  | d3 
2019-08-13 15:45:47.5366 | Info  | d1 
2019-08-13 15:45:47.5366 | Info  | d3 
2019-08-13 15:46:04.1896 | Info  | ԭͼ--E:\OCR\CUT\33ea8544864b4d41a2416b11c0025bc2/ԭͼ.jpg 
2019-08-13 15:46:04.2179 | Info  | d1 
2019-08-13 15:46:04.2179 | Info  | d3 
2019-08-13 15:46:04.2318 | Info  | d1 
2019-08-13 15:46:04.2318 | Info  | d3 
2019-08-13 15:46:04.2427 | Info  | d1 
2019-08-13 15:46:04.2427 | Info  | d3 
2019-08-13 15:46:04.2586 | Info  | d1 
2019-08-13 15:46:04.2586 | Info  | d3 
2019-08-13 15:52:22.7137 | Info  | ԭͼ--E:\OCR\CUT\488a06e9f54d415dae076bfb0aeece18/ԭͼ.jpg 
2019-08-13 15:52:22.8407 | Info  | d1 
2019-08-13 15:52:22.8576 | Info  | d3 
2019-08-13 15:52:22.8690 | Info  | d1 
2019-08-13 15:52:22.8690 | Info  | d3 
2019-08-13 15:52:22.8690 | Info  | d1 
2019-08-13 15:52:22.8690 | Info  | d3 
2019-08-13 15:52:22.8784 | Info  | d1 
2019-08-13 15:52:22.8784 | Info  | d3 
2019-08-13 15:52:22.8784 | Info  | d1 
2019-08-13 15:52:22.8784 | Info  | d3 
2019-08-13 15:52:22.8784 | Info  | d1 
2019-08-13 15:52:22.8784 | Info  | d3 
2019-08-13 15:52:22.8958 | Info  | d1 
2019-08-13 15:52:22.8958 | Info  | d3 
2019-08-13 15:52:22.8958 | Info  | d1 
2019-08-13 15:52:22.8958 | Info  | d3 
2019-08-13 15:52:22.8958 | Info  | d1 
2019-08-13 15:52:22.8958 | Info  | d3 
2019-08-13 16:32:24.6250 | Info  | ԭͼ--E:\OCR\CUT\f2050a917aca4bc9896ccea7461c21cd/ԭͼ.jpg 
2019-08-13 16:32:24.7028 | Info  | d1 
2019-08-13 16:32:24.7028 | Info  | d3 
2019-08-13 16:32:24.7331 | Info  | d1 
2019-08-13 16:32:24.7440 | Info  | d3 
2019-08-13 16:32:24.7688 | Info  | d1 
2019-08-13 16:32:24.7688 | Info  | d3 
2019-08-13 16:32:24.7946 | Info  | d1 
2019-08-13 16:32:24.7946 | Info  | d3 
2019-08-13 16:32:24.8194 | Info  | d1 
2019-08-13 16:32:24.8194 | Info  | d3 
2019-08-13 16:32:24.8447 | Info  | d1 
2019-08-13 16:32:24.8447 | Info  | d3 
2019-08-13 16:32:24.8665 | Info  | d1 
2019-08-13 16:32:24.8665 | Info  | d3 
2019-08-13 16:32:24.8918 | Info  | d1 
2019-08-13 16:32:24.8918 | Info  | d3 
2019-08-13 16:32:24.9136 | Info  | d1 
2019-08-13 16:32:24.9136 | Info  | d3 
2019-08-13 16:42:07.5715 | Info  | ԭͼ--E:\OCR\CUT\6887b3520d7a4bd7b4328b5bb84e4246/ԭͼ.jpg 
2019-08-13 16:42:07.7040 | Info  | d1 
2019-08-13 16:42:07.7238 | Info  | d3 
2019-08-13 16:42:07.7238 | Info  | d1 
2019-08-13 16:42:07.7387 | Info  | d3 
2019-08-13 16:42:07.7387 | Info  | d1 
2019-08-13 16:42:07.7387 | Info  | d3 
2019-08-13 16:42:07.7387 | Info  | d1 
2019-08-13 16:42:07.7387 | Info  | d3 
2019-08-13 16:42:07.7546 | Info  | d1 
2019-08-13 16:42:07.7546 | Info  | d3 
2019-08-13 16:42:07.7546 | Info  | d1 
2019-08-13 16:42:07.7546 | Info  | d3 
2019-08-13 16:42:07.7546 | Info  | d1 
2019-08-13 16:42:07.7546 | Info  | d3 
2019-08-13 16:42:07.7724 | Info  | d1 
2019-08-13 16:42:07.7724 | Info  | d3 
2019-08-13 16:42:07.7724 | Info  | d1 
2019-08-13 16:42:07.7724 | Info  | d3 
